"id","screen_name","followers_count","name","description","updated_utc","url"
7093352,"drkiki",171474,"Dr. Kiki Sanford","Science ninjas unite!","2014-09-18 04:30","https://twitter.com/drkiki"
1299995892,"AstroKarenN",102386,"Karen L. Nyberg","Wife and Mother, NASA Astronaut. Flew on Space Shuttle Discovery in 2008. Lived on International Space Station for six months in 2013. Now on Earth.","2014-09-18 04:30","https://twitter.com/AstroKarenN"
260211154,"DrAliceRoberts",67692,"Prof Alice Roberts","Professor of Public Engagement in Science at University of Birmingham;
Physical anthropologist, author, and science presenter","2014-09-18 04:30","https://twitter.com/DrAliceRoberts"
15484063,"sciencegoddess",52672,"Joanne Manaster","Read Science! host, @sciam blogger, book lover, biology lecturer, former international model, STEM advocate.
Mashable says my tweets will make you smarter","2014-09-18 04:30","https://twitter.com/sciencegoddess"
14807898,"elakdawalla",44109,"Emily Lakdawalla","Senior Editor & Planetary Evangelist, The Planetary Society. Planetary scientist, writer, public speaker. Writing a book on Curiosity mission. Asteroid 274860.","2014-09-18 04:30","https://twitter.com/elakdawalla"
224074946,"DrMelanieG",37242,"Melanie Greenberg ","Psychologist; Psychology Today Blogger, Speaker, Mindful Solutions 4 Life. Health. Leadership
  http://t.co/zn9IQmB9gd
 http://t.co/gbdBehMgu2","2014-09-18 04:30","https://twitter.com/DrMelanieG"
33248363,"SylviaEarle",34163,"Sylvia A. Earle","Oceanographer, National Geographic Explorer-In-Residence, 2009 TED Prize Winner. Dedicated to saving and restoring the ocean, the blue heart of the planet!","2014-09-18 04:30","https://twitter.com/SylviaEarle"
31443503,"scicurious",32043,"Sci Curious","Codename of sciwriter Bethany Brookshire. Education Blogger at Science News for Students, Blogger at Science News. Opinions are my own.","2014-09-18 04:30","https://twitter.com/scicurious"
66162716,"carolynporco",26447,"Carolyn Porco","Planetary scientist, Cassini imaging lead, CICLOPS director, The Day The Earth Smiled  founder. WE DID IT! Opinions are my own.","2014-09-18 04:30","https://twitter.com/carolynporco"
16435797,"Ehmee",25340,"Emily Graslie","Chief Curiosity Correspondent for the @FieldMuseum, Host of #TheBrainScoop, painter, photographer, violinist, baker, joker. 
http://t.co/I8rNRnfMA9","2014-09-18 04:30","https://twitter.com/Ehmee"
814304,"arielwaldman",22972,"Ariel Waldman","Creator of @Spacehack, a directory of ways to participate in space exploration. Global instigator of @ScienceHackDay. @NASciences Human Spaceflight Committee.","2014-09-18 04:30","https://twitter.com/arielwaldman"
12702822,"starstryder",18075,"Pamela L. Gay","Communicating astronomy and life in academia 1 sidereal day at a time.","2014-09-18 04:30","https://twitter.com/starstryder"
27834920,"GrrlScientist",15841,"GrrlScientist","Evolutionary biologist, ornithologist, birder, parrot pal, writes for @Guardian, producer for @BirdNoteRadio, progressive Seattlebred NYCer, US expat, Ravenclaw","2014-09-18 04:30","https://twitter.com/GrrlScientist"
33773592,"AstroKatie",14235,"Katie Mack","(a.k.a. Katherine J Mack) astrophysicist, occasional freelance science writer, connoisseur of airplane food","2014-09-18 04:30","https://twitter.com/AstroKatie"
1184354442,"AmyMainzer",13927,"Amy Mainzer","Scientist","2014-09-18 04:30","https://twitter.com/AmyMainzer"
19808176,"NerdyChristie",13522,"Christie Wilcox","Freelance science writer, author of Science Sushi for Discover Blogs, and PhD Candidate in Cell and Molecular Biology at the University of Hawaii","2014-09-18 04:30","https://twitter.com/NerdyChristie"
21724904,"CatherineQ",13479,"Catherine Q.","Astrophysicist, science communicator, over-thinker. One of @HuffPostscience Top 30 Physicists to follow. Autoimmune illness girl. Kiwi in US. Dogs rule.","2014-09-18 04:30","https://twitter.com/CatherineQ"
20928893,"debbiebere",13080,"Deborah Berebichez","A physicist with a deep passion for communicating science to the masses. Secondary life as philosopher and actor. Made in Mexico.","2014-09-18 04:30","https://twitter.com/debbiebere"
17385903,"kejames",12533,"Karen James","Wearer of the following hats: scientist @mdibl (DNA barcoding/citizen sci), co-founder/director @beagleproject, outdoorswoman, astronaut hopeful, feminist, wool","2014-09-18 04:30","https://twitter.com/kejames"
230492604,"lirarandall",11863,"Lisa Randall","Physicist,  
Author of Warped Passages,
Knocking on Heaven's Door, Higgs Discovery","2014-09-18 04:30","https://twitter.com/lirarandall"
174847568,"DNLee5",11549,"DNLee","Biologist & Hip-Hop Maven: Urban Ecology, Evolution, STEM Diversity, Science Outreach African Giant Pouched Rat behavior & natural history research.","2014-09-18 04:30","https://twitter.com/DNLee5"
19563103,"bug_gwen",9764,"Bug Gwen","I write for Wired Science about entomology. 
I'm a bug AND a feature!","2014-09-18 04:30","https://twitter.com/bug_gwen"
17047208,"girlscientist",9440,"Chris Gunter","Geneticist; editor; writer; science communicator; attempted wit. Assoc Dir of Research, @MarcusAutism Ctr. Assoc Prof, @EmoryMedicine. Tweets my own.","2014-09-18 04:30","https://twitter.com/girlscientist"
27818124,"yayayarndiva",9364," P. Mimi Poinsett MD","Snarky crone, mama pediatrician of da boi and partner of Mah Sweetie aka el jibaro #tweetiatrician, subtweeter and asker of impertinent questions","2014-09-18 04:30","https://twitter.com/yayayarndiva"
77907514,"ejwillingham",8366,"Emily Willingham","Got a book on evidence-based parenting coming out 2015/16 (@PerigeeBooks/Penguin) with co-author @tarahaelle.","2014-09-18 04:30","https://twitter.com/ejwillingham"
15099133,"NoisyAstronomer",7958,"Nicole Gugliucci","Astronomer. Educator. Subtle as a Supernova. Post-Doc with the Most Rock at http://t.co/CleNgf2mLQ. All opinions are my own.","2014-09-18 04:30","https://twitter.com/NoisyAstronomer"
15150453,"AndreaKuszewski",7856,"Andrea Kuszewski","Cognitive scientist, behavior therapist, artist, science writer, convention challenger, knowledge fanatic. Intelligence, Creativity, Sociopathy, & X-Altruism.","2014-09-18 04:30","https://twitter.com/AndreaKuszewski"
14729597,"KateClancy",7514,"Kate Clancy","Assistant professor at the University of Illinois, biological anthropologist, ladybusiness expert, mother, roller derby athlete.","2014-09-18 04:30","https://twitter.com/KateClancy"
35315865,"aetiology",7441,"Tara C. Smith","Associate Professor, lab rat  (microbiologist/infectious disease epidemiologist) and occasional blogger, full-time nerd","2014-09-18 04:30","https://twitter.com/aetiology"
50778320,"Sheril_",6154,"Sheril Kirshenbaum","Director of @UTAustin's Energy Poll, Author, Blog at Scientific American","2014-09-18 04:30","https://twitter.com/Sheril_"
27978241,"PlanetDr",5852,"Sarah Hörst","Planetary scientist, Titan evangelist, triathlete, pomeranian wrangler. Prone to #sciencedancing. Loves socks. Stridently anti-breakfast. My tweets are my own.","2014-09-18 04:30","https://twitter.com/PlanetDr"
112475924,"JacquelynGill",5816,"Jacquelyn Gill","Ice Age ecologist using the natural experiments of the past to understand a warming world. Assistant Professor at @UMaine. Working for diversity in STEM.","2014-09-18 04:30","https://twitter.com/JacquelynGill"
187518287,"upulie",5487,"Sith Lotus","Molecular biologist, science communicator, coordinator at @realscientists, dinosaur evangelist. Where are the giant robots?","2014-09-18 04:30","https://twitter.com/upulie"
196458749,"DrRubidium",5431,"Raychelle Burks","Analytical chemist. Left Coaster in the No Coast Zone.  Sarcastic & silly, abides social morays. Near meaningless disclaimer: tweets = personal ≠ professional.","2014-09-18 04:30","https://twitter.com/DrRubidium"
17175139,"docfreeride",5224,"Janet D. Stemwedel","Philosopher, lapsed chemist. I also blog @ http://t.co/4EibV2lr2O","2014-09-18 04:30","https://twitter.com/docfreeride"
79489732,"biochembelle",5215,"biochem belle","Known elsewhere as Melissa Vaught. Ever on & on through adventures of science and life. Now with 100% less benchwork.
Tweets personal.","2014-09-18 04:30","https://twitter.com/biochembelle"
185910976,"hollybik",4594,"Holly Bik","Microbial eukaryotes & marine genomics - sequencing the ocean one handful of mud at a time. Birmingham Fellow at @UoBbioscience & blog at http://t.co/esrl5E1xUm","2014-09-18 04:30","https://twitter.com/hollybik"
14173097,"astropixie",4499,"★ amanda bauer ★","astrophysicist. science communicator. music creator. culinary enthusiast. willing.","2014-09-18 04:30","https://twitter.com/astropixie"
256424454,"dr_krystal",4422,"Dr Krystal","Malaria research scientist often heard on Einstein a Go-Go Sundays 11am on 3RRR 102.7FM. Science supporter! All tweets are my own.","2014-09-18 04:30","https://twitter.com/dr_krystal"
16678835,"genegeek",4137,"genegeek","Although my projects seem different, all encourage thinking and exploring. Using PhD in Medical Genetics for teaching at university & outreach opportunities","2014-09-18 04:30","https://twitter.com/genegeek"
92241457,"flimsin",3815,"Tamsin Edwards","Climate scientist, PLOS blogger: http://t.co/ErbBWLQINU. Lecturer @OpenUniversity from 1st Oct!","2014-09-18 04:30","https://twitter.com/flimsin"
121869155,"artologica",3795,"Michele Banks","Maker of science-y art.  Microblognitsa. Resident snarky art walrus                          and keeper of science lolcats @finchandpea","2014-09-18 04:30","https://twitter.com/artologica"
322658299,"HopeJahren",3359,"Hope Jahren","I am conspiring with @JahrenLab to take over the world.  Also, go read my blog. It's made of good.","2014-09-18 04:30","https://twitter.com/HopeJahren"
252791434,"shaka_lulu",3297,"Lucianne Walkowicz","astrophysicist. artist. transient bioelectrical phenomenon hurtling through space.","2014-09-18 04:30","https://twitter.com/shaka_lulu"
1115784079,"Dr_Mel_Thomson",3242,"Dr Mel Thomson","Medical Researcher, Microbiologist, Lecturer, Mother, Science Communicator, Feminist. Crowd funding Science. Tweets are often the remarks of a precious petal.","2014-09-18 04:30","https://twitter.com/Dr_Mel_Thomson"
20956102,"DrEmmaLJohnston",3133,"Prof Emma L Johnston","Professor of marine ecology & ecotoxicology. Director, Sydney Harbour Research Program. Presenter, Coast Australia. 
Vice-Pres. Science & Technology Australia.","2014-09-18 04:30","https://twitter.com/DrEmmaLJohnston"
603367602,"evelynjlamb",3104,"Evelyn Lamb","Mathematician at @UUtah, writer, violist, singer, sewist, cook, native Texan (tragically displaced), completionist. Tweets do not represent my employers.","2014-09-18 04:30","https://twitter.com/evelynjlamb"
378259736,"Mammals_Suck",3048,"Katie Hinde","Katie Hinde, Asst Professor, Human Evolutionary Biology, Harvard University.    
I investigate the maternal-infant interface, focusing on mother's milk.","2014-09-18 04:30","https://twitter.com/Mammals_Suck"
283273730,"DogSpies",3048,"Julie Hecht","Interested in your dog's urine. Canine researcher, Sci Am Blogger, adjunct professor, PhD student, presenter of dog science. http://t.co/lcllGnVTWZ","2014-09-18 04:30","https://twitter.com/DogSpies"
14448779,"DrKillgrove",3019,"Kristina Killgrove","I see (Roman) dead people. Assistant professor of anthropology at University of West Florida and researcher of archaeology, bioanthropology, and classics.","2014-09-18 04:30","https://twitter.com/DrKillgrove"
118983660,"TaraShears",3009,"Tara Shears","Particle physicist","2014-09-18 04:30","https://twitter.com/TaraShears"
460547107,"NathaliaHolt",2697,"Nathalia Holt","Microbiologist and author of CURED (Dutton/Penguin) & RISE OF THE ROCKET GIRLS (Little, Brown 2016)","2014-09-18 04:30","https://twitter.com/NathaliaHolt"
339722887,"SnowHydro",2528,"Sarah Boon","Editorial Manager @ScienceBorealis. Writer, editor, photographer, scientist. Inhabiting the space btwn science & story. #nature #scicomm #womeninsci #scipolicy","2014-09-18 04:30","https://twitter.com/SnowHydro"
117937857,"ScientistMags",2333,"Mags Lum","Chemist, Metallurgist, Photographer, Writer, Teacher.","2014-09-18 04:30","https://twitter.com/ScientistMags"
17604915,"margagual",2311,"Marga Gual Soler","PhD | Entrepreneur | AAAS Science Diplomacy Scholar | Conspirator @ways_remixed LatAm @renaisswomen @rcomuniciencia ~ @gclalumni #womeninSTEM #leadership","2014-09-18 04:30","https://twitter.com/margagual"
981127062,"trueanomalies",2202,"Meg Rosenburg","planets, #scicomm, #histsci | @Caltech PhD | #PHDtv co-founder (http://t.co/uRYhr5jPl4) | all-around space person | And what you do, do it unfeignedly.","2014-09-18 04:30","https://twitter.com/trueanomalies"
308623046,"JenEDavison",2166,"Jen Davison","Scientist, building capacity for science communication at @UW_CoEnv. Fueled by wonder, wild places, yoga, dogs, community. Opinions all mine.","2014-09-18 04:30","https://twitter.com/JenEDavison"
267788953,"melanietbaum",2118,"Melanie Tannenbaum","UIUC Social Psych PhD Candidate. Scientific American Blogger. Pop Culture Fiend. Duke Blue Devil. 3x Tough Mudder. Zumba/PiYo Instructor. Smiling's my favorite.","2014-09-18 04:30","https://twitter.com/melanietbaum"
356788303,"SiouxsieW",2042,"Siouxsie Wiles","Microbiologist. Bioluminescence Obsessive. Open access & science enthusiast. Blogger & podcaster in 'spare' time.","2014-09-18 04:30","https://twitter.com/SiouxsieW"
21595505,"Tuff_Cookie",2027,"Jessica Ball","Volcanologist, Geological Society of America Science Policy Fellow, AGU geoblogger. Sometimes known as Magma, PI. Tweets are my personal comments/opinions.","2014-09-18 04:30","https://twitter.com/Tuff_Cookie"
355053826,"GainesOnBrains",1971,"Jordan Gaines Lewis","Science blogger. @SciSeeker Editor-in-Chief. @Penn_State PhD student studying #sleep & obesity. @TEDTalks-er. Knitting fiend. Runner. Your go-to Beatles expert.","2014-09-18 04:30","https://twitter.com/GainesOnBrains"
380608703,"kimwhitestein",1949,"Kimberly Stein, PhD","Scientist at Gatorade Sports Science Institute. Perfect job to combine my loves of athletics, science, and helping athletes be their best! Opinions are my own..","2014-09-18 04:30","https://twitter.com/kimwhitestein"
308132707,"emilysdarling",1901,"Emily Darling","2013 David H. Smith Conservation Research Fellow thinking about coral reefs, climate change, conservation, and how to tweet about it.","2014-09-18 04:30","https://twitter.com/emilysdarling"
404442001,"emckiernan13",1872,"Erin McKiernan","Physiologist. Neuroscientist. Tweeting on my research, #science news, #openaccess publishing, and occasional random thoughts. #neuroscience #physiology #math","2014-09-18 04:30","https://twitter.com/emckiernan13"
589975555,"CorrieMoreau",1762,"Corrie Moreau","Science, evolutionary biology, macroevolution, biodiversity, ants, microbiomes, mutualisms, endosymbionts, phylogenetics, genomics, women/diversity in science","2014-09-18 04:30","https://twitter.com/CorrieMoreau"
15163872,"DrHolly",1717,"Holly Menninger","Scientist. Communicator. Lover of all things arthropod.","2014-09-18 04:30","https://twitter.com/DrHolly"
343045067,"bat_whisperer",1714,"bat_whisperer","Micaela Jemison is a bat ecologist & science communicator. Communication Officer for @AusBats, Science Communicator at @NMNH & @smithsonian. Tweets are my own.","2014-09-18 04:30","https://twitter.com/bat_whisperer"
